source,target
A0A385MIS5,regulation of defense response
A0A385MIS5,negative regulation of defense response
A0A385MIS5,modulation of process of another organism
A0A385MIS5,response to external biotic stimulus
A0A385MIS5,modulation by symbiont of host process
A0A385MIS5,biological process involved in symbiotic interaction
A0A385MIS5,suppression of host defenses by symbiont
A0A385MIS5,biological process involved in interspecies interaction between organisms
A0A385MIS5,negative regulation of biological process
A0A385MIS5,regulation of response to stimulus
A0A385MIS5,negative regulation of response to stimulus
A0A385MIS5,regulation of biological process
A0A385MIS5,response to stimulus
A0A385MIS5,biological process involved in interaction with host
A0A385MIS5,response to other organism
A0A385MIS5,modulation by symbiont of host defense response
A0A385MIS5,modulation by symbiont of host innate immune response
A0A385MIS5,suppression by symbiont of host innate immune response
A0A385MIS5,response to defenses of other organism
A0A385MIS5,response to host defenses
A0A385MIS5,modulation by symbiont of host immune response
A0A385MIS5,suppression by symbiont of host immune response
A0A385MIS5,response to host immune response
A0A385MIS5,biological regulation
A0A385MIS5,response to host
A0A385MIS5,regulation of response to stress
A0A385MIS5,carbohydrate derivative binding
A0A385MIS5,molecular sequestering activity
A0A385MIS5,receptor decoy activity
A0A385MIS5,PAMP receptor decoy activity
A0A385MIS5,effector-mediated suppression of host innate immune response
A0A385MIS5,effector-mediated modulation of host innate immune response by symbiont
A0A385MIS5,effector-mediated modulation of host defenses by symbiont
A0A385MIS5,effector-mediated modulation of host process by symbiont
A0A385MIS5,effector-mediated suppression of host defenses
I1HY48,molecular_function
I1HY48,catalytic activity
I1HY48,oxidoreductase activity
I1HY48,"oxidoreductase activity, acting on CH-OH group of donors"
I1HY48,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
I1HY48,cinnamyl-alcohol dehydrogenase activity
V9P4U0,response to acid chemical
V9P4U0,regulation of DNA-templated transcription
V9P4U0,response to stress
V9P4U0,biological_process
V9P4U0,response to water deprivation
V9P4U0,response to water
V9P4U0,response to abiotic stimulus
V9P4U0,drought recovery
V9P4U0,regulation of biosynthetic process
V9P4U0,positive regulation of biosynthetic process
V9P4U0,positive regulation of metabolic process
V9P4U0,response to organic substance
V9P4U0,response to inorganic substance
V9P4U0,regulation of gene expression
V9P4U0,regulation of macromolecule biosynthetic process
V9P4U0,positive regulation of macromolecule biosynthetic process
V9P4U0,positive regulation of macromolecule metabolic process
V9P4U0,regulation of nucleobase-containing compound metabolic process
V9P4U0,regulation of metabolic process
V9P4U0,regulation of cellular metabolic process
V9P4U0,positive regulation of cellular metabolic process
V9P4U0,regulation of cellular biosynthetic process
V9P4U0,positive regulation of cellular biosynthetic process
V9P4U0,response to chemical
V9P4U0,positive regulation of DNA-templated transcription
V9P4U0,positive regulation of nucleobase-containing compound metabolic process
V9P4U0,positive regulation of biological process
V9P4U0,positive regulation of cellular process
V9P4U0,regulation of biological process
V9P4U0,regulation of cellular process
V9P4U0,response to stimulus
V9P4U0,regulation of nitrogen compound metabolic process
V9P4U0,positive regulation of nitrogen compound metabolic process
V9P4U0,regulation of RNA metabolic process
V9P4U0,positive regulation of RNA metabolic process
V9P4U0,regulation of macromolecule metabolic process
V9P4U0,biological regulation
V9P4U0,regulation of primary metabolic process
V9P4U0,response to oxygen-containing compound
V9P4U0,response to salt
V9P4U0,positive regulation of RNA biosynthetic process
V9P4U0,regulation of nucleic acid-templated transcription
V9P4U0,positive regulation of nucleic acid-templated transcription
V9P4U0,regulation of RNA biosynthetic process
Q46149,molecular_function
Q46149,catalytic activity
Q46149,protein glycosylation
Q46149,protein O-linked glycosylation
Q46149,proteolysis
Q46149,nitrogen compound metabolic process
Q46149,regulation of actin polymerization or depolymerization
Q46149,biological_process
Q46149,metabolic process
Q46149,UDP-glycosyltransferase activity
Q46149,peptidase activity
Q46149,acetylglucosaminyltransferase activity
Q46149,biosynthetic process
Q46149,macromolecule biosynthetic process
Q46149,glycoprotein metabolic process
Q46149,glycoprotein biosynthetic process
Q46149,regulation of signal transduction
Q46149,negative regulation of signal transduction
Q46149,cellular process
Q46149,gene expression
Q46149,positive regulation of organelle organization
Q46149,regulation of cell communication
Q46149,negative regulation of cell communication
Q46149,cellular component organization
Q46149,protein processing
Q46149,protein autoprocessing
Q46149,transferase activity
Q46149,glycosyltransferase activity
Q46149,hexosyltransferase activity
Q46149,hydrolase activity
Q46149,peptidyl-amino acid modification
Q46149,peptidyl-threonine modification
Q46149,protein O-linked glycosylation via threonine
Q46149,protein metabolic process
Q46149,regulation of signaling
Q46149,negative regulation of signaling
Q46149,regulation of actin filament length
Q46149,regulation of actin filament depolymerization
Q46149,positive regulation of actin filament depolymerization
Q46149,regulation of cellular component size
Q46149,regulation of actin cytoskeleton organization
Q46149,regulation of actin filament-based process
Q46149,regulation of organelle organization
Q46149,negative regulation of GTPase activity
Q46149,cellular macromolecule biosynthetic process
Q46149,regulation of Rho protein signal transduction
Q46149,negative regulation of Rho protein signal transduction
Q46149,protein modification process
Q46149,negative regulation of catalytic activity
Q46149,regulation of GTPase activity
Q46149,macromolecule metabolic process
Q46149,positive regulation of protein-containing complex disassembly
Q46149,regulation of protein-containing complex disassembly
Q46149,macromolecule modification
Q46149,macromolecule glycosylation
Q46149,negative regulation of molecular function
Q46149,cellular metabolic process
Q46149,primary metabolic process
Q46149,cellular biosynthetic process
Q46149,cellular macromolecule metabolic process
Q46149,regulation of Ras protein signal transduction
Q46149,negative regulation of Ras protein signal transduction
Q46149,positive regulation of biological process
Q46149,negative regulation of biological process
Q46149,positive regulation of cellular process
Q46149,negative regulation of cellular process
Q46149,regulation of response to stimulus
Q46149,negative regulation of response to stimulus
Q46149,regulation of biological process
Q46149,regulation of catalytic activity
Q46149,regulation of cellular process
Q46149,regulation of small GTPase mediated signal transduction
Q46149,negative regulation of small GTPase mediated signal transduction
Q46149,regulation of cellular component organization
Q46149,positive regulation of cellular component organization
Q46149,regulation of hydrolase activity
Q46149,negative regulation of hydrolase activity
Q46149,regulation of cytoskeleton organization
Q46149,positive regulation of cytoskeleton organization
Q46149,protein maturation
Q46149,biological regulation
Q46149,regulation of biological quality
Q46149,regulation of molecular function
Q46149,glycosylation
Q46149,organic substance metabolic process
Q46149,cellular component organization or biogenesis
Q46149,regulation of anatomical structure size
Q46149,toxin activity
Q46149,protein O-acetylglucosaminyltransferase activity
Q46149,regulation of actin filament organization
Q46149,"catalytic activity, acting on a protein"
Q46149,carbohydrate derivative metabolic process
Q46149,carbohydrate derivative biosynthetic process
Q46149,organonitrogen compound metabolic process
Q46149,organonitrogen compound biosynthetic process
Q46149,organic substance biosynthetic process
Q46149,regulation of protein depolymerization
Q46149,positive regulation of protein depolymerization
Q46149,regulation of intracellular signal transduction
Q46149,negative regulation of intracellular signal transduction
Q46149,regulation of supramolecular fiber organization
Q46149,positive regulation of supramolecular fiber organization
A0A088FLK9,cell killing
A0A088FLK9,biological_process
A0A088FLK9,cellular process
A0A088FLK9,cytolysis
A0A088FLK9,killing of cells of another organism
A0A088FLK9,biological process involved in interspecies interaction between organisms
A0A088FLK9,cytolysis in another organism
A0A0K8P8E7,molecular_function
A0A0K8P8E7,catalytic activity
A0A0K8P8E7,xenobiotic metabolic process
A0A0K8P8E7,biological_process
A0A0K8P8E7,metabolic process
A0A0K8P8E7,catabolic process
A0A0K8P8E7,response to xenobiotic stimulus
A0A0K8P8E7,cellular process
A0A0K8P8E7,response to organic substance
A0A0K8P8E7,hydrolase activity
A0A0K8P8E7,"hydrolase activity, acting on ester bonds"
A0A0K8P8E7,xenobiotic catabolic process
A0A0K8P8E7,response to chemical
A0A0K8P8E7,cellular metabolic process
A0A0K8P8E7,cellular catabolic process
A0A0K8P8E7,response to stimulus
A0A0K8P8E7,cellular response to stimulus
A0A0K8P8E7,carboxylic ester hydrolase activity
A0A0K8P8E7,cellular response to chemical stimulus
A0A0K8P8E7,cellular response to organic substance
A0A0K8P8E7,cellular response to xenobiotic stimulus
G0Y7D3,molecular_function
G0Y7D3,catalytic activity
G0Y7D3,organic acid metabolic process
G0Y7D3,lipid metabolic process
G0Y7D3,fatty acid metabolic process
G0Y7D3,icosanoid metabolic process
G0Y7D3,isoprenoid metabolic process
G0Y7D3,biological_process
G0Y7D3,metabolic process
G0Y7D3,isoprenoid biosynthetic process
G0Y7D3,lipid biosynthetic process
G0Y7D3,biosynthetic process
G0Y7D3,cyclase activity
G0Y7D3,cellular process
G0Y7D3,terpene synthase activity
G0Y7D3,green leaf volatile biosynthetic process
G0Y7D3,lyase activity
G0Y7D3,carbon-oxygen lyase activity
G0Y7D3,"carbon-oxygen lyase activity, acting on phosphates"
G0Y7D3,lipoxygenase pathway
G0Y7D3,carboxylic acid metabolic process
G0Y7D3,monocarboxylic acid metabolic process
G0Y7D3,terpene metabolic process
G0Y7D3,oxoacid metabolic process
G0Y7D3,monoterpene metabolic process
G0Y7D3,monoterpene biosynthetic process
G0Y7D3,cellular metabolic process
G0Y7D3,primary metabolic process
G0Y7D3,cellular biosynthetic process
G0Y7D3,cellular lipid metabolic process
G0Y7D3,small molecule metabolic process
G0Y7D3,terpene biosynthetic process
G0Y7D3,organic substance metabolic process
G0Y7D3,sabinene synthase activity
G0Y7D3,alpha-thujene synthase activity
G0Y7D3,hydrocarbon biosynthetic process
G0Y7D3,hydrocarbon metabolic process
G0Y7D3,organic substance biosynthetic process
Q45976,molecular_function
Q45976,binding
Q45976,protein binding
Q6Q975,cellular_component
Q6Q975,intracellular anatomical structure
Q6Q975,thylakoid
Q6Q975,membrane
Q6Q975,photosynthetic membrane
Q6Q975,thylakoid membrane
Q6Q975,organelle
Q6Q975,non-membrane-bounded organelle
Q6Q975,intracellular organelle
Q6Q975,intracellular non-membrane-bounded organelle
Q6Q975,cellular anatomical entity
A0A1I7U4N8,intracellular monoatomic ion homeostasis
A0A1I7U4N8,intracellular zinc ion homeostasis
A0A1I7U4N8,biological_process
A0A1I7U4N8,cellular homeostasis
A0A1I7U4N8,intracellular monoatomic cation homeostasis
A0A1I7U4N8,homeostatic process
A0A1I7U4N8,positive regulation of biological process
A0A1I7U4N8,chemical homeostasis
A0A1I7U4N8,regulation of biological process
A0A1I7U4N8,monoatomic ion homeostasis
A0A1I7U4N8,monoatomic cation homeostasis
A0A1I7U4N8,intracellular chemical homeostasis
A0A1I7U4N8,biological regulation
A0A1I7U4N8,regulation of fertilization
A0A1I7U4N8,inorganic ion homeostasis
A0A1I7U4N8,positive regulation of fertilization
A0A1I7U4N8,regulation of reproductive process
A0A1I7U4N8,positive regulation of reproductive process
C0HL85,biological_process
C0HL85,modulation of process of another organism
C0HL85,modulation by symbiont of host process
C0HL85,biological process involved in symbiotic interaction
C0HL85,biological process involved in interspecies interaction between organisms
C0HL85,disruption of membrane integrity in another organism
C0HL85,biological process involved in interaction with host
C0HL85,modification by symbiont of host cell membrane
C0HL85,modification by symbiont of host cellular component
C0HL85,modification by symbiont of host structure
C0HL85,disruption of cellular component of another organism
C0HL09,cellular_component
C0HL09,extracellular region
C0HL09,cellular anatomical entity
C0HM57,cellular_component
C0HM57,extracellular region
C0HM57,cellular anatomical entity
A0L9W2,molecular_function
A0L9W2,binding
A0L9W2,protein binding
A0L9W2,identical protein binding
P0DJJ6,molecular_function
P0DJJ6,catalytic activity
P0DJJ6,binding
P0DJJ6,cellular_component
P0DJJ6,extracellular region
P0DJJ6,peptidase activity
P0DJJ6,metallopeptidase activity
P0DJJ6,hydrolase activity
P0DJJ6,host cellular component
P0DJJ6,ion binding
P0DJJ6,cation binding
P0DJJ6,host extracellular space
P0DJJ6,metal ion binding
P0DJJ6,cellular anatomical entity
P0DJJ6,"catalytic activity, acting on a protein"
P86804,cell killing
P86804,molecular_function
P86804,catalytic activity
P86804,phospholipase activity
P86804,phospholipase A2 activity
P86804,cellular_component
P86804,extracellular region
P86804,lipid metabolic process
P86804,phospholipid metabolic process
P86804,phosphorus metabolic process
P86804,phosphate-containing compound metabolic process
P86804,biological_process
P86804,metabolic process
P86804,catabolic process
P86804,phospholipid catabolic process
P86804,cellular process
P86804,lipid catabolic process
P86804,lipase activity
P86804,hydrolase activity
P86804,"hydrolase activity, acting on ester bonds"
P86804,organophosphate metabolic process
P86804,cytolysis
P86804,killing of cells of another organism
P86804,envenomation resulting in modulation of process in another organism
P86804,modulation of process of another organism
P86804,cellular metabolic process
P86804,primary metabolic process
P86804,cellular lipid catabolic process
P86804,cellular catabolic process
P86804,cellular lipid metabolic process
P86804,biological process involved in interspecies interaction between organisms
P86804,envenomation resulting in muscle damage in another organism
P86804,organophosphate catabolic process
P86804,cytolysis in another organism
P86804,carboxylic ester hydrolase activity
P86804,organic substance metabolic process
P86804,toxin activity
P86804,cellular anatomical entity
P86804,organic substance catabolic process
B2LSD2,G protein-coupled receptor binding
B2LSD2,molecular_function
B2LSD2,catalytic activity
B2LSD2,signaling receptor binding
B2LSD2,binding
B2LSD2,protein binding
B2LSD2,peptidase activity
B2LSD2,cysteine-type peptidase activity
B2LSD2,hydrolase activity
B2LSD2,proteinase activated receptor binding
B2LSD2,"catalytic activity, acting on a protein"
Q9XYT4,molecular_function
Q9XYT4,binding
Q9XYT4,calcium ion binding
Q9XYT4,cellular_component
Q9XYT4,extracellular region
Q9XYT4,extracellular space
Q9XYT4,microvillus
Q9XYT4,biological_process
Q9XYT4,response to endogenous stimulus
Q9XYT4,response to hormone
Q9XYT4,response to organic substance
Q9XYT4,developmental process
Q9XYT4,growth
Q9XYT4,response to chemical
Q9XYT4,cell projection
Q9XYT4,ion binding
Q9XYT4,cation binding
Q9XYT4,basal part of cell
Q9XYT4,metal ion binding
Q9XYT4,developmental growth
Q9XYT4,response to stimulus
Q9XYT4,actin-based cell projection
Q9XYT4,cellular anatomical entity
Q9XYT4,plasma membrane bounded cell projection
Q8V9P2,molecular_function
Q8V9P2,nucleic acid binding
Q8V9P2,DNA binding
Q8V9P2,binding
Q8V9P2,cellular_component
Q8V9P2,viral capsid
Q8V9P2,helical viral capsid
Q8V9P2,virion component
Q8V9P2,organic cyclic compound binding
Q8V9P2,heterocyclic compound binding
Q2VST0,molecular_function
Q2VST0,catalytic activity
Q2VST0,"hydrolase activity, hydrolyzing O-glycosyl compounds"
Q2VST0,chitinase activity
Q2VST0,cellular_component
Q2VST0,extracellular region
Q2VST0,aminoglycan metabolic process
Q2VST0,aminoglycan catabolic process
Q2VST0,chitin metabolic process
Q2VST0,chitin catabolic process
Q2VST0,amino sugar metabolic process
Q2VST0,nitrogen compound metabolic process
Q2VST0,response to stress
Q2VST0,defense response
Q2VST0,biological_process
Q2VST0,metabolic process
Q2VST0,endochitinase activity
Q2VST0,catabolic process
Q2VST0,macromolecule catabolic process
Q2VST0,response to external stimulus
Q2VST0,response to biotic stimulus
Q2VST0,response to fungus
Q2VST0,hydrolase activity
Q2VST0,"hydrolase activity, acting on glycosyl bonds"
Q2VST0,macromolecule metabolic process
Q2VST0,response to external biotic stimulus
Q2VST0,biological process involved in interspecies interaction between organisms
Q2VST0,amino sugar catabolic process
Q2VST0,defense response to fungus
Q2VST0,response to stimulus
Q2VST0,response to other organism
Q2VST0,organic substance metabolic process
Q2VST0,defense response to other organism
Q2VST0,cellular anatomical entity
Q2VST0,glucosamine-containing compound metabolic process
Q2VST0,glucosamine-containing compound catabolic process
Q2VST0,carbohydrate derivative metabolic process
Q2VST0,carbohydrate derivative catabolic process
Q2VST0,organonitrogen compound metabolic process
Q2VST0,organonitrogen compound catabolic process
Q2VST0,organic substance catabolic process
B8YNY4,molecular_function
B8YNY4,binding
B8YNY4,protein binding
J7GQ11,molecular_function
J7GQ11,catalytic activity
J7GQ11,aromatic-L-amino-acid decarboxylase activity
J7GQ11,tyrosine decarboxylase activity
J7GQ11,binding
J7GQ11,lyase activity
J7GQ11,carbon-carbon lyase activity
J7GQ11,carboxy-lyase activity
J7GQ11,vitamin binding
J7GQ11,pyridoxal phosphate binding
J7GQ11,small molecule binding
J7GQ11,L-dopa decarboxylase activity
J7GQ11,ion binding
J7GQ11,anion binding
J7GQ11,vitamin B6 binding
J7GQ11,organic cyclic compound binding
J7GQ11,heterocyclic compound binding
A0A120HUS7,sulfur amino acid metabolic process
A0A120HUS7,sulfur amino acid biosynthetic process
A0A120HUS7,molecular_function
A0A120HUS7,catalytic activity
A0A120HUS7,organic acid metabolic process
A0A120HUS7,amino acid metabolic process
A0A120HUS7,cysteine metabolic process
A0A120HUS7,cysteine biosynthetic process from serine
A0A120HUS7,L-serine metabolic process
A0A120HUS7,sulfur compound metabolic process
A0A120HUS7,nitrogen compound metabolic process
A0A120HUS7,biological_process
A0A120HUS7,metabolic process
A0A120HUS7,O-acyltransferase activity
A0A120HUS7,amino acid biosynthetic process
A0A120HUS7,serine O-acetyltransferase activity
A0A120HUS7,biosynthetic process
A0A120HUS7,serine family amino acid metabolic process
A0A120HUS7,serine family amino acid biosynthetic process
A0A120HUS7,cellular process
A0A120HUS7,organic acid biosynthetic process
A0A120HUS7,acetyltransferase activity
A0A120HUS7,serine O-acyltransferase activity
A0A120HUS7,O-acetyltransferase activity
A0A120HUS7,transferase activity
A0A120HUS7,acyltransferase activity
A0A120HUS7,"acyltransferase activity, transferring groups other than amino-acyl groups"
A0A120HUS7,cysteine biosynthetic process
A0A120HUS7,carboxylic acid metabolic process
A0A120HUS7,oxoacid metabolic process
A0A120HUS7,cellular metabolic process
A0A120HUS7,primary metabolic process
A0A120HUS7,cellular biosynthetic process
A0A120HUS7,sulfur compound biosynthetic process
A0A120HUS7,small molecule metabolic process
A0A120HUS7,small molecule biosynthetic process
A0A120HUS7,carboxylic acid biosynthetic process
A0A120HUS7,organic substance metabolic process
A0A120HUS7,organonitrogen compound metabolic process
A0A120HUS7,organonitrogen compound biosynthetic process
A0A120HUS7,organic substance biosynthetic process
A0A120HUS7,alpha-amino acid metabolic process
A0A120HUS7,alpha-amino acid biosynthetic process
C0HLU4,response to stress
C0HLU4,defense response
C0HLU4,biological_process
C0HLU4,response to external stimulus
C0HLU4,response to biotic stimulus
C0HLU4,response to bacterium
C0HLU4,modulation of process of another organism
C0HLU4,defense response to bacterium
C0HLU4,response to external biotic stimulus
C0HLU4,modulation by symbiont of host process
C0HLU4,biological process involved in symbiotic interaction
C0HLU4,biological process involved in interspecies interaction between organisms
C0HLU4,defense response to Gram-negative bacterium
C0HLU4,defense response to Gram-positive bacterium
C0HLU4,response to stimulus
C0HLU4,disruption of membrane integrity in another organism
C0HLU4,biological process involved in interaction with host
C0HLU4,response to other organism
C0HLU4,modification by symbiont of host cell membrane
C0HLU4,modification by symbiont of host cellular component
C0HLU4,modification by symbiont of host structure
C0HLU4,defense response to other organism
C0HLU4,disruption of cellular component of another organism
O68324,regulation of cytokine production
O68324,positive regulation of cytokine production
O68324,biological_process
O68324,positive regulation of metabolic process
O68324,regulation of gene expression
O68324,positive regulation of macromolecule metabolic process
O68324,positive regulation of gene expression
O68324,regulation of metabolic process
O68324,regulation of interleukin-8 production
O68324,positive regulation of interleukin-8 production
O68324,positive regulation of biological process
O68324,regulation of biological process
O68324,regulation of multicellular organismal process
O68324,positive regulation of multicellular organismal process
O68324,regulation of macromolecule metabolic process
O68324,biological regulation
Q6DNE2,molecular_function
Q6DNE2,binding
Q6DNE2,protein binding
Q6DNE2,identical protein binding
A0A0H3JX98,molecular_function
A0A0H3JX98,catalytic activity
A0A0H3JX98,nitrogen compound metabolic process
A0A0H3JX98,biological_process
A0A0H3JX98,metabolic process
A0A0H3JX98,protein lipoylation
A0A0H3JX98,gene expression
A0A0H3JX98,transferase activity
A0A0H3JX98,"transferase activity, transferring phosphorus-containing groups"
A0A0H3JX98,nucleotidyltransferase activity
A0A0H3JX98,ligase activity
A0A0H3JX98,"ligase activity, forming carbon-nitrogen bonds"
A0A0H3JX98,lipoate-protein ligase activity
A0A0H3JX98,peptidyl-amino acid modification
A0A0H3JX98,peptidyl-lysine modification
A0A0H3JX98,protein metabolic process
A0A0H3JX98,protein modification process
A0A0H3JX98,macromolecule metabolic process
A0A0H3JX98,macromolecule modification
A0A0H3JX98,primary metabolic process
A0A0H3JX98,protein maturation
A0A0H3JX98,organic substance metabolic process
A0A0H3JX98,"catalytic activity, acting on a protein"
A0A0H3JX98,organonitrogen compound metabolic process
A0A0H3JLH9,molecular_function
A0A0H3JLH9,binding
A0A0H3JLH9,protein binding
A0A0H3JLH9,identical protein binding
P96792,molecular_function
P96792,transporter activity
P96792,transport
P96792,biological_process
P96792,monoatomic cation transmembrane transporter activity
P96792,carbohydrate transport
P96792,cellular process
P96792,monoatomic ion transmembrane transporter activity
P96792,carbohydrate transmembrane transporter activity
P96792,secondary active transmembrane transporter activity
P96792,symporter activity
P96792,solute:monoatomic cation symporter activity
P96792,active transmembrane transporter activity
P96792,active monoatomic ion transmembrane transporter activity
P96792,transmembrane transporter activity
P96792,carbohydrate transmembrane transport
P96792,localization
P96792,establishment of localization
P96792,transmembrane transport
P96792,organic substance transport
C7G1H4,cellular_component
C7G1H4,extracellular region
C7G1H4,response to stress
C7G1H4,defense response
C7G1H4,biological_process
C7G1H4,response to external stimulus
C7G1H4,response to biotic stimulus
C7G1H4,response to bacterium
C7G1H4,defense response to bacterium
C7G1H4,response to external biotic stimulus
C7G1H4,biological process involved in interspecies interaction between organisms
C7G1H4,defense response to Gram-positive bacterium
C7G1H4,response to stimulus
C7G1H4,response to other organism
C7G1H4,defense response to other organism
C7G1H4,cellular anatomical entity
U3KRF2,nucleotide binding
U3KRF2,molecular_function
U3KRF2,catalytic activity
U3KRF2,3-dehydroquinate synthase activity
U3KRF2,binding
U3KRF2,protein binding
U3KRF2,organic acid metabolic process
U3KRF2,biological_process
U3KRF2,metabolic process
U3KRF2,biosynthetic process
U3KRF2,chorismate biosynthetic process
U3KRF2,cellular process
U3KRF2,organic acid biosynthetic process
U3KRF2,lyase activity
U3KRF2,carbon-oxygen lyase activity
U3KRF2,"carbon-oxygen lyase activity, acting on phosphates"
U3KRF2,purine nucleotide binding
U3KRF2,carboxylic acid metabolic process
U3KRF2,adenyl nucleotide binding
U3KRF2,small molecule binding
U3KRF2,identical protein binding
U3KRF2,ion binding
U3KRF2,cation binding
U3KRF2,oxoacid metabolic process
U3KRF2,dicarboxylic acid metabolic process
U3KRF2,dicarboxylic acid biosynthetic process
U3KRF2,cellular metabolic process
U3KRF2,cellular biosynthetic process
U3KRF2,small molecule metabolic process
U3KRF2,small molecule biosynthetic process
U3KRF2,carboxylic acid biosynthetic process
U3KRF2,chorismate metabolic process
U3KRF2,metal ion binding
U3KRF2,NAD binding
U3KRF2,organic substance metabolic process
U3KRF2,organic cyclic compound binding
U3KRF2,nucleoside phosphate binding
U3KRF2,heterocyclic compound binding
U3KRF2,organic substance biosynthetic process
Q47CX0,molecular_function
Q47CX0,catalytic activity
Q47CX0,oxidoreductase activity
Q47CX0,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"
Q47CX0,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"
Q47CX0,chlorite O2-lyase activity
Q47CX0,dioxygenase activity
Q40963,molecular_function
Q40963,catalytic activity
Q40963,nuclease activity
Q40963,ribonuclease activity
Q40963,hydrolase activity
Q40963,"hydrolase activity, acting on ester bonds"
Q40963,"catalytic activity, acting on RNA"
Q40963,"catalytic activity, acting on a nucleic acid"
K6RLY1,molecular_function
K6RLY1,catalytic activity
K6RLY1,"hydrolase activity, hydrolyzing O-glycosyl compounds"
K6RLY1,alpha-L-fucosidase activity
K6RLY1,fucosidase activity
K6RLY1,hydrolase activity
K6RLY1,"hydrolase activity, acting on glycosyl bonds"
K6RLY1,"1,3-alpha-L-fucosidase activity"
W0LYS5,biological_process
W0LYS5,molting cycle process
W0LYS5,multicellular organismal process
W0LYS5,molting cycle
Q5SBN1,molecular_function
Q5SBN1,catalytic activity
Q5SBN1,transferase activity
Q5SBN1,glycosyltransferase activity
Q5SBN1,hexosyltransferase activity
Q5SBN1,"1,4-alpha-glucan 6-alpha-glucosyltransferase activity"
Q5SBN1,oligosaccharide 4-alpha-D-glucosyltransferase activity
Q5SBN1,glucosyltransferase activity
P86912,molecular_function
P86912,enzyme inhibitor activity
P86912,endopeptidase inhibitor activity
P86912,biological_process
P86912,metalloendopeptidase inhibitor activity
P86912,negative regulation of metabolic process
P86912,negative regulation of peptidase activity
P86912,negative regulation of macromolecule metabolic process
P86912,negative regulation of endopeptidase activity
P86912,regulation of metabolic process
P86912,regulation of proteolysis
P86912,enzyme regulator activity
P86912,peptidase inhibitor activity
P86912,negative regulation of catalytic activity
P86912,negative regulation of molecular function
P86912,negative regulation of proteolysis
P86912,negative regulation of biological process
P86912,regulation of biological process
P86912,regulation of catalytic activity
P86912,regulation of nitrogen compound metabolic process
P86912,negative regulation of nitrogen compound metabolic process
P86912,regulation of protein metabolic process
P86912,negative regulation of protein metabolic process
P86912,regulation of hydrolase activity
P86912,negative regulation of hydrolase activity
P86912,regulation of peptidase activity
P86912,regulation of endopeptidase activity
P86912,regulation of macromolecule metabolic process
P86912,peptidase regulator activity
P86912,endopeptidase regulator activity
P86912,biological regulation
P86912,regulation of molecular function
P86912,regulation of primary metabolic process
P86912,molecular function regulator activity
P86912,molecular function inhibitor activity
Q5V9A4,molecular_function
Q5V9A4,binding
Q5V9A4,protein binding
Q5V9A4,identical protein binding
Q5V913,molecular_function
Q5V913,binding
Q5V913,protein binding
Q5V913,protein import into nucleus
Q5V913,NLS-bearing protein import into nucleus
Q5V913,transport
Q5V913,intracellular protein transport
Q5V913,nucleocytoplasmic transport
Q5V913,protein localization
Q5V913,biological_process
Q5V913,cellular process
Q5V913,protein transport
Q5V913,macromolecule localization
Q5V913,protein localization to organelle
Q5V913,protein localization to nucleus
Q5V913,establishment of protein localization
Q5V913,intracellular transport
Q5V913,nuclear transport
Q5V913,import into nucleus
Q5V913,localization
Q5V913,establishment of localization
Q5V913,cellular localization
Q5V913,establishment of localization in cell
Q5V913,importin-alpha family protein binding
Q5V913,cellular macromolecule localization
Q5V913,organic substance transport
Q5V913,nitrogen compound transport
Q5V913,establishment of protein localization to organelle
Q88F34,transcription cis-regulatory region binding
Q88F34,transcription regulatory region nucleic acid binding
Q88F34,DNA-binding transcription activator activity
Q88F34,DNA-binding transcription repressor activity
Q88F34,molecular_function
Q88F34,nucleic acid binding
Q88F34,DNA binding
Q88F34,double-stranded DNA binding
Q88F34,DNA-binding transcription factor activity
Q88F34,binding
Q88F34,cellular_component
Q88F34,regulation of DNA-templated transcription
Q88F34,biological_process
Q88F34,regulation of biosynthetic process
Q88F34,negative regulation of biosynthetic process
Q88F34,positive regulation of biosynthetic process
Q88F34,negative regulation of metabolic process
Q88F34,positive regulation of metabolic process
Q88F34,regulation of gene expression
Q88F34,regulation of macromolecule biosynthetic process
Q88F34,positive regulation of macromolecule biosynthetic process
Q88F34,negative regulation of macromolecule biosynthetic process
Q88F34,positive regulation of macromolecule metabolic process
Q88F34,negative regulation of macromolecule metabolic process
Q88F34,regulation of nucleobase-containing compound metabolic process
Q88F34,regulation of metabolic process
Q88F34,regulation of cellular metabolic process
Q88F34,negative regulation of cellular metabolic process
Q88F34,positive regulation of cellular metabolic process
Q88F34,regulation of cellular biosynthetic process
Q88F34,negative regulation of cellular biosynthetic process
Q88F34,positive regulation of cellular biosynthetic process
Q88F34,protein-containing complex
Q88F34,protein-DNA complex
Q88F34,sequence-specific DNA binding
Q88F34,negative regulation of DNA-templated transcription
Q88F34,positive regulation of DNA-templated transcription
Q88F34,negative regulation of nucleobase-containing compound metabolic process
Q88F34,positive regulation of nucleobase-containing compound metabolic process
Q88F34,positive regulation of biological process
Q88F34,negative regulation of biological process
Q88F34,positive regulation of cellular process
Q88F34,negative regulation of cellular process
Q88F34,regulation of biological process
Q88F34,regulation of cellular process
Q88F34,regulation of nitrogen compound metabolic process
